87645	21639	s	
87649	21640	s	
87653	21641	s	
87657	21642	s	
87661	21643	s	
87665	21644	s	
87669	21645	s	
87673	21646	s	
87677	21647	s	
87681	21648	p	
87685	21649	s	
87689	21650	s	
87693	21651	s	
87697	21652	p	
87701	21653	s	
87705	21654	s	
87709	21655	s	
87713	21656	p	
87717	21657	s	
87721	21658	s	
87725	21659	p	
87729	21660	s	
87733	21661	s	
87737	21662	s	
87741	21663	s	
87745	21664	s	
87749	21665	s	
87753	21666	s	
87757	21667	s	
87761	21668	s	
87765	21669	s	
87769	21670	s	
87773	21671	s	
87777	21672	s	
87781	21673	s	
87785	21674	s	
87789	21675	t	
87793	21676	p	
87797	21677	s	
87801	21678	s	
87805	21679	s	
87809	21680	p	
87813	21681	s	
87817	21682	s	
87821	21683	s	
87825	21684	s	
87829	21685	s	
87833	21686	t	
87837	21687	p	
87841	21688	s	
87845	21689	s	
87849	21690	s	
87853	21691	s	
87857	21692	s	
87861	21693	s	
87865	21694	s	
87869	21695	s	
87873	21696	s	
87877	21697	s	
87881	21698	p	
87885	21699	s	
87889	21700	s	
87893	21701	s	
87897	21702	s	
87901	21703	s	
87905	21704	p	
87909	21705	t	
87913	21706	p	
87917	21707	s	
87921	21708	s	
87925	21709	s	
87929	21710	s	
87933	21711	s	
87937	21712	s	
87941	21713	s	
87945	21714	p	
87949	21715	s	
87953	21716	p	
87957	21717	t	
87961	21718	p	
87965	21719	p	
87969	21720	p	
87974	21721	s	
87978	21722	s	
87982	21723	s	
87986	21724	s	
87990	21725	s	
87994	21726	s	
87998	21727	t	
88003	21728	p	
88007	21729	s	
88011	21730	s	
88015	21731	s	
88019	21732	s	
88023	21733	p	
88027	21734	s	
88031	21735	s	
88035	21736	s	
88039	21737	s	
88043	21738	s	
88047	21739	s	
88051	21740	s	
88055	21741	s	
88059	21742	t	
88063	21743	t	
88067	21744	p	
88071	21745	s	
88075	21746	s	
88079	21747	p	
88083	21748	s	
88087	21749	p	
88091	21750	s	
88095	21751	s	
88099	21752	s	
88103	21753	t	
88107	21754	p	
88111	21755	s	
88115	21756	s	
88119	21757	s	
88123	21758	s	
88127	21759	s	
88131	21760	s	
88135	21761	t	
88139	21762	t	
88144	21763	p	
88148	21764	s	
88152	21765	s	
